DP;DPNOM;Total;NBI;deficit_hab_cuanti
05;Antioquia;6407102;10.73;6.59
08;Atlántico;2535517;11.37;6.91
11;Bogotá, D.C.;7412566;3.47;3.86
13;Bolívar;2070110;26.73;18.23
15;Boyacá;1217376;10.15;5.64
17;Caldas;998255;8.95;6.39
18;Caquetá;401849;23.62;33.27
19;Cauca;1464488;18.81;16.62
20;Cesar;1200574;23.04;13.51
23;Córdoba;1784783;35.08;26.65
25;Cundinamarca;2919060;6.36;4.74
27;Chocó;534826;65.51;49.77
41;Huila;1100386;12.86;6.96
44;La Guajira;880560;53.33;17.77
47;Magdalena;1341746;26.71;15.96
50;Meta;1039722;13.45;12.37
52;Nariño;1630592;21.98;18.51
54;Norte de Santander;1491689;18.43;11.25
63;Quindio;539904;6.76;5.10
66;Risaralda;943401;8.19;4.39
68;Santander;2184837;9.58;7.92
70;Sucre;904863;29.13;16.83
73;Tolima;1330187;12.22;8.39
76;Valle del Cauca;4475886;6.25;4.62
81;Arauca;262174;32.45;33.87
85;Casanare;420504;16.08;9.39
86;Putumayo;348182;18.96;43.37
88;Archipiélago de San Andrés;61280;14.89;13.60
91;Amazonas;76589;35.24;59.07
94;Guainía;48114;59.46;50.26
95;Guaviare;82767;27.91;46.58
97;Vaupés;40797;68.94;81.21
99;Vichada;107808;67.76;44.23
