cod_dpto;dpto;cod_mpio;mpio;pob;NBI;def_hab_cuanti
05;ANTIOQUIA;05001;MEDELLÍN;2427129;5.23;2.02
05;ANTIOQUIA;05002;ABEJORRAL;20367;13.96;1.41
05;ANTIOQUIA;05004;ABRIAQUÍ;2695;11.63;15.85
05;ANTIOQUIA;05021;ALEJANDRÍA;4657;12.68;4.55
05;ANTIOQUIA;05030;AMAGÁ;30227;9.66;2.16
05;ANTIOQUIA;05031;AMALFI;25962;22.38;26.85
05;ANTIOQUIA;05034;ANDES;43269;12.29;2.36
05;ANTIOQUIA;05036;ANGELÓPOLIS;5756;13.03;3.48
05;ANTIOQUIA;05038;ANGOSTURA;11437;20.52;2.29
05;ANTIOQUIA;05040;ANORÍ;18321;28.00;31.52
05;ANTIOQUIA;05042;SANTAFÉ DE ANTIOQUIA;26164;14.13;4.10
05;ANTIOQUIA;05044;ANZA;7010;16.33;3.74
05;ANTIOQUIA;05045;APARTADÓ;121003;14.67;14.43
05;ANTIOQUIA;05051;ARBOLETES;29295;62.49;63.69
05;ANTIOQUIA;05055;ARGELIA;7689;17.14;10.29
05;ANTIOQUIA;05059;ARMENIA;5139;8.36;2.92
05;ANTIOQUIA;05079;BARBOSA;51969;7.01;1.87
05;ANTIOQUIA;05086;BELMIRA;6000;13.39;3.97
05;ANTIOQUIA;05088;BELLO;522264;5.58;4.17
05;ANTIOQUIA;05091;BETANIA;10323;16.22;4.06
05;ANTIOQUIA;05093;BETULIA;15607;17.18;2.71
05;ANTIOQUIA;05101;CIUDAD BOLÍVAR;26118;11.85;1.88
05;ANTIOQUIA;05107;BRICEÑO;8039;25.66;10.88
05;ANTIOQUIA;05113;BURITICÁ;9354;29.14;4.47
05;ANTIOQUIA;05120;CÁCERES;28996;49.83;47.92
05;ANTIOQUIA;05125;CAICEDO;8297;18.62;1.92
05;ANTIOQUIA;05129;CALDAS;79638;5.47;1.69
05;ANTIOQUIA;05134;CAMPAMENTO;9203;24.64;7.10
05;ANTIOQUIA;05138;CAÑASGORDAS;15523;22.79;4.40
05;ANTIOQUIA;05142;CARACOLÍ;4582;12.14;9.13
05;ANTIOQUIA;05145;CARAMANTA;4743;8.92;1.51
05;ANTIOQUIA;05147;CAREPA;47932;20.98;18.70
05;ANTIOQUIA;05148;EL CARMEN DE VIBORAL;59416;5.85;1.85
05;ANTIOQUIA;05150;CAROLINA;3954;6.23;2.00
05;ANTIOQUIA;05154;CAUCASIA;90213;22.10;19.95
05;ANTIOQUIA;05172;CHIGORODÓ;57375;21.19;14.27
05;ANTIOQUIA;05190;CISNEROS;9775;13.24;4.02
05;ANTIOQUIA;05197;COCORNÁ;15444;14.31;4.35
05;ANTIOQUIA;05206;CONCEPCIÓN;4797;12.48;2.14
05;ANTIOQUIA;05209;CONCORDIA;21377;18.54;1.90
05;ANTIOQUIA;05212;COPACABANA;77884;3.81;1.48
05;ANTIOQUIA;05234;DABEIBA;23044;47.26;30.18
05;ANTIOQUIA;05237;DON MATÍAS;18902;6.10;0.72
05;ANTIOQUIA;05240;EBÉJICO;12158;13.89;1.70
05;ANTIOQUIA;05250;EL BAGRE;51862;35.62;32.49
05;ANTIOQUIA;05264;ENTRERRIOS;11159;7.03;0.93
05;ANTIOQUIA;05266;ENVIGADO;228848;2.07;0.69
05;ANTIOQUIA;05282;FREDONIA;24408;11.13;2.37
05;ANTIOQUIA;05284;FRONTINO;20739;34.10;14.28
05;ANTIOQUIA;05306;GIRALDO;5544;15.36;3.50
05;ANTIOQUIA;05308;GIRARDOTA;51662;5.05;1.28
05;ANTIOQUIA;05310;GÓMEZ PLATA;9753;10.40;2.54
05;ANTIOQUIA;05313;GRANADA;10117;11.04;2.30
05;ANTIOQUIA;05315;GUADALUPE;6560;15.32;3.39
05;ANTIOQUIA;05318;GUARNE;55121;6.21;2.46
05;ANTIOQUIA;05321;GUATAPÉ;8363;4.36;0.77
05;ANTIOQUIA;05347;HELICONIA;5451;12.42;1.80
05;ANTIOQUIA;05353;HISPANIA;5469;12.12;1.17
05;ANTIOQUIA;05360;ITAGUI;276744;3.95;1.83
05;ANTIOQUIA;05361;ITUANGO;27074;35.71;20.42
05;ANTIOQUIA;05364;JARDÍN;14518;9.79;6.87
05;ANTIOQUIA;05368;JERICÓ;13640;9.05;2.13
05;ANTIOQUIA;05376;LA CEJA;64889;4.11;1.81
05;ANTIOQUIA;05380;LA ESTRELLA;71545;3.51;1.30
05;ANTIOQUIA;05390;LA PINTADA;8114;12.85;6.71
05;ANTIOQUIA;05400;LA UNIÓN;21475;6.67;0.90
05;ANTIOQUIA;05411;LIBORINA;10028;13.86;0.97
05;ANTIOQUIA;05425;MACEO;8221;13.18;9.76
05;ANTIOQUIA;05440;MARINILLA;64645;5.09;3.43
05;ANTIOQUIA;05467;MONTEBELLO;6680;15.52;2.39
05;ANTIOQUIA;05475;MURINDÓ;4911;81.73;95.31
05;ANTIOQUIA;05480;MUTATÁ;13991;43.37;48.88
05;ANTIOQUIA;05483;NARIÑO;10153;15.64;4.93
05;ANTIOQUIA;05490;NECOCLÍ;42281;57.63;58.09
05;ANTIOQUIA;05495;NECHÍ;25790;54.34;54.92
05;ANTIOQUIA;05501;OLAYA;3127;12.03;4.38
05;ANTIOQUIA;05541;PEÑOL;21049;6.86;1.13
05;ANTIOQUIA;05543;PEQUE;8097;27.36;5.57
05;ANTIOQUIA;05576;PUEBLORRICO;8664;15.86;2.07
05;ANTIOQUIA;05579;PUERTO BERRÍO;39314;13.77;21.48
05;ANTIOQUIA;05585;PUERTO NARE;14380;13.75;15.47
05;ANTIOQUIA;05591;PUERTO TRIUNFO;18055;13.15;10.27
05;ANTIOQUIA;05604;REMEDIOS;28415;22.20;28.05
05;ANTIOQUIA;05607;RETIRO;23514;4.61;2.81
05;ANTIOQUIA;05615;RIONEGRO;135465;5.20;2.00
05;ANTIOQUIA;05628;SABANALARGA;9032;27.57;2.59
05;ANTIOQUIA;05631;SABANETA;82375;1.59;0.46
05;ANTIOQUIA;05642;SALGAR;18258;16.59;2.52
05;ANTIOQUIA;05647;SAN ANDRÉS DE CUERQUÍA;7235;24.54;6.64
05;ANTIOQUIA;05649;SAN CARLOS;16247;12.07;4.90
05;ANTIOQUIA;05652;SAN FRANCISCO;5648;19.80;16.39
05;ANTIOQUIA;05656;SAN JERÓNIMO;15361;13.29;2.13
05;ANTIOQUIA;05658;SAN JOSÉ DE LA MONTAÑA;3646;10.23;2.07
05;ANTIOQUIA;05659;SAN JUAN DE URABÁ;20093;59.82;59.51
05;ANTIOQUIA;05660;SAN LUIS;12995;12.99;7.90
05;ANTIOQUIA;05664;SAN PEDRO;21949;6.67;1.35
05;ANTIOQUIA;05665;SAN PEDRO DE URABA;30932;66.14;59.83
05;ANTIOQUIA;05667;SAN RAFAEL;15698;11.12;3.13
05;ANTIOQUIA;05670;SAN ROQUE;21519;14.85;5.88
05;ANTIOQUIA;05674;SAN VICENTE;22093;10.97;2.61
05;ANTIOQUIA;05679;SANTA BÁRBARA;26784;9.81;1.29
05;ANTIOQUIA;05686;SANTA ROSA DE OSOS;36318;9.23;1.20
05;ANTIOQUIA;05690;SANTO DOMINGO;12394;11.54;1.93
05;ANTIOQUIA;05697;EL SANTUARIO;35422;6.80;1.45
05;ANTIOQUIA;05736;SEGOVIA;37900;23.15;21.47
05;ANTIOQUIA;05756;SONSON;36321;13.24;8.51
05;ANTIOQUIA;05761;SOPETRÁN;15053;11.31;1.96
05;ANTIOQUIA;05789;TÁMESIS;16281;12.41;2.93
05;ANTIOQUIA;05790;TARAZÁ;26964;32.42;30.17
05;ANTIOQUIA;05792;TARSO;6184;16.24;4.36
05;ANTIOQUIA;05809;TITIRIBÍ;10775;11.22;1.26
05;ANTIOQUIA;05819;TOLEDO;4993;23.91;4.93
05;ANTIOQUIA;05837;TURBO;124552;39.15;38.63
05;ANTIOQUIA;05842;URAMITA;6888;27.10;12.38
05;ANTIOQUIA;05847;URRAO;30127;24.45;18.51
05;ANTIOQUIA;05854;VALDIVIA;13801;26.97;21.74
05;ANTIOQUIA;05856;VALPARAÍSO;6498;8.88;1.85
05;ANTIOQUIA;05858;VEGACHÍ;11810;22.03;15.66
05;ANTIOQUIA;05861;VENECIA;11602;9.63;1.90
05;ANTIOQUIA;05873;VIGÍA DEL FUERTE;9093;78.25;96.09
05;ANTIOQUIA;05885;YALÍ;7608;21.78;16.92
05;ANTIOQUIA;05887;YARUMAL;41542;11.75;3.15
05;ANTIOQUIA;05890;YOLOMBÓ;22538;16.12;7.45
05;ANTIOQUIA;05893;YONDÓ;19040;26.01;37.82
05;ANTIOQUIA;05895;ZARAGOZA;24651;45.77;49.16
08;ATLÁNTICO;08001;BARRANQUILLA;1206319;9.10;5.13
08;ATLÁNTICO;08078;BARANOA;62382;14.28;10.87
08;ATLÁNTICO;08137;CAMPO DE LA CRUZ;22879;34.98;15.07
08;ATLÁNTICO;08141;CANDELARIA;15982;32.96;14.16
08;ATLÁNTICO;08296;GALAPA;60708;13.65;9.72
08;ATLÁNTICO;08372;JUAN DE ACOSTA;20999;17.85;10.68
08;ATLÁNTICO;08421;LURUACO;28175;24.83;10.57
08;ATLÁNTICO;08433;MALAMBO;128203;12.92;6.83
08;ATLÁNTICO;08436;MANATÍ;19808;23.87;17.13
08;ATLÁNTICO;08520;PALMAR DE VARELA;28932;18.16;16.65
08;ATLÁNTICO;08549;PIOJÓ;6608;20.51;13.16
08;ATLÁNTICO;08558;POLONUEVO;18197;13.33;16.78
08;ATLÁNTICO;08560;PONEDERA;23848;23.21;17.68
08;ATLÁNTICO;08573;PUERTO COLOMBIA;49264;9.17;7.31
08;ATLÁNTICO;08606;REPELÓN;26200;29.53;10.53
08;ATLÁNTICO;08634;SABANAGRANDE;32334;16.33;11.27
08;ATLÁNTICO;08638;SABANALARGA;93261;18.14;11.38
08;ATLÁNTICO;08675;SANTA LUCÍA;16023;33.09;20.89
08;ATLÁNTICO;08685;SANTO TOMÁS;29829;14.79;12.09
08;ATLÁNTICO;08758;SOLEDAD;603999;8.03;5.01
08;ATLÁNTICO;08770;SUAN;11940;18.27;16.28
08;ATLÁNTICO;08832;TUBARÁ;17377;16.13;16.43
08;ATLÁNTICO;08849;USIACURÍ;12250;13.60;20.06
11;BOGOTÁ, D.C.;11001;BOGOTÁ, D.C.;7412566;3.47;3.86
13;BOLÍVAR;13001;CARTAGENA;973045;12.49;10.30
13;BOLÍVAR;13006;ACHÍ;24352;55.92;52.60
13;BOLÍVAR;13030;ALTOS DEL ROSARIO;10972;58.45;50.90
13;BOLÍVAR;13042;ARENAL;7365;36.27;28.36
13;BOLÍVAR;13052;ARJONA;69503;26.98;15.20
13;BOLÍVAR;13062;ARROYOHONDO;8254;41.87;17.66
